,tconst,averageRating,numVotes
803933,tt1981677,7.1,310420
762204,tt1764651,6.6,310305
257687,tt0489099,6.1,310222
76143,tt0103776,7.1,309631
511951,tt1125849,7.9,309221
88740,tt0119177,7.8,308162
206582,tt0367279,8.7,307986
174753,tt0293662,6.8,307312
80496,tt0109040,6.9,306932
525320,tt1152836,7.0,306807
721298,tt1598778,6.8,306227
1154358,tt6857112,6.8,306083
241928,tt0449467,7.5,305929
392196,tt0814314,7.6,305821
877415,tt2372162,8.1,305556
766881,tt1790885,7.4,305309
546068,tt1194173,6.6,305224
573242,tt1253863,6.2,304662
76041,tt0103644,6.4,303919
508675,tt11198330,8.5,303857
88480,tt0118880,6.9,303758
89279,tt0119822,7.7,302704
966797,tt3606756,7.6,301929
547703,tt1197624,7.4,301755
227273,tt0414387,7.8,301349
511092,tt1124373,8.6,301270
77425,tt0105323,8.0,300932
400603,tt0838283,6.9,300292
89606,tt0120201,7.3,300083
835879,tt2140479,7.3,299922
78812,tt0106977,7.8,299205
83217,tt0112384,7.7,299174
166691,tt0278504,7.2,299055
658136,tt14392248,9.2,298247
212185,tt0379786,7.8,298107
245358,tt0457939,6.9,297710
89956,tt0120623,7.2,297011
389726,tt0808151,6.7,296959
35094,tt0056172,8.3,296955
160496,tt0265666,7.6,296734
777915,tt1837492,7.5,296622
1044316,tt4925292,7.4,296587
932741,tt3110958,6.4,295813
459590,tt1028528,7.0,295647
177070,tt0298203,7.2,295477
675328,tt1478338,6.8,295418
1066525,tt5290382,8.6,295011
90058,tt0120762,7.6,292941
250996,tt0473075,6.6,292925
187928,tt0320661,7.2,292894
755578,tt1735898,6.1,292619
492049,tt1091191,7.5,291562
451433,tt1013752,6.5,291141
594827,tt1302011,7.2,291106
459597,tt1028532,8.1,289188
387041,tt0800039,7.1,288682
1195256,tt7767422,8.3,288280
131946,tt0203009,7.6,288261
1091685,tt5727208,7.4,287987
575644,tt1259571,4.7,287855
998515,tt4123430,6.5,287829
516355,tt1133985,5.5,287768
993072,tt4034228,7.8,287419
882678,tt2397535,7.4,286890
678266,tt1485796,7.5,286676
89991,tt0120669,7.5,286593
555498,tt1213663,6.9,285571
198473,tt0348150,6.1,285379
868272,tt2316204,6.4,285368
387205,tt0800320,5.8,285147
53759,tt0077651,7.7,284521
187226,tt0319343,7.1,284451
1023965,tt4550098,7.5,284175
156640,tt0258000,6.8,283234
381631,tt0783233,7.8,282555
124102,tt0187078,6.5,282276
237464,tt0438097,6.8,282107
53741,tt0077631,7.2,281644
1205094,tt7991608,6.3,281441
575537,tt12593682,7.3,281277
613620,tt1340138,6.3,281228
68964,tt0095327,8.5,281028
861976,tt2277860,7.3,280916
928607,tt3040964,7.4,280319
247591,tt0463854,6.9,280098
866079,tt2302755,6.5,279943
121221,tt0181875,7.9,279876
1001084,tt4160708,7.1,279782
90313,tt0121164,7.3,279617
1091666,tt5726616,7.8,279582
89948,tt0120611,7.1,279341
124298,tt0187393,7.2,279014
63686,tt0089218,7.7,278899
615380,tt1343727,7.1,278898
136583,tt0212985,6.8,278702
88484,tt0118884,7.5,278382
930465,tt3076658,7.6,278382
242369,tt0450385,6.8,278259
188567,tt0322259,5.9,277710
729576,tt1630029,7.8,277543
172769,tt0289765,7.2,277305
943202,tt3263904,7.4,276982
128622,tt0196229,6.5,276689
39934,tt0061722,8.0,276389
736035,tt1650554,6.5,276329
243190,tt0452623,7.6,276217
247652,tt0463985,6.0,276135
222374,tt0401729,6.6,275965
929837,tt3065204,7.3,275741
226271,tt0411477,7.0,275284
256692,tt0486655,7.6,275257
90095,tt0120804,6.6,274922
172909,tt0290002,6.3,274885
90099,tt0120812,7.0,274137
1067957,tt5311514,8.4,273977
187944,tt0320691,7.0,273583
635187,tt1386588,6.6,273327
237061,tt0437086,7.3,273115
772055,tt1817273,7.3,272826
122177,tt0183649,7.1,272763
433547,tt0955308,6.6,272567
79330,tt0107614,7.1,271893
156174,tt0257044,7.7,271862
125819,tt0190332,7.9,271862
1166426,tt7126948,5.4,271841
157509,tt0259711,6.9,271733
1176874,tt7349950,6.5,271274
106124,tt0151804,7.6,271094
86701,tt0116695,7.3,271032
545259,tt1192628,7.2,270973
485741,tt1077368,6.2,270654
171216,tt0286716,5.6,270638
194830,tt0338526,6.0,270620
32551,tt0053291,8.2,270243
1117346,tt6139732,6.9,270240
83263,tt0112442,6.8,270137
658311,tt1439629,8.5,269737
72437,tt0099348,8.0,269609
88363,tt0118749,7.9,269185
1007186,tt4263482,6.9,268940
256641,tt0486576,5.6,268596
1176850,tt7349662,7.5,268496
76550,tt0104257,7.7,268479
445442,tt1001526,7.3,268372
179523,tt0303461,9.0,268019
213093,tt0381681,8.1,267961
52058,tt0075686,8.0,267837
71063,tt0097757,7.6,267578
812247,tt2024469,6.9,267394
387928,tt0803096,6.7,267059
207580,tt0369179,7.1,266769
123426,tt0185937,6.5,266206
115285,tt0170016,6.3,265976
117565,tt0175142,6.2,265877
137777,tt0215750,7.6,265812
47781,tt0070735,8.3,265764
207201,tt0368447,6.6,264949
69329,tt0095765,8.5,264056
82536,tt0111503,7.3,263866
140469,tt0221027,7.5,263705
641451,tt1401152,6.8,263594
952493,tt3402236,6.5,263446
578570,tt1266020,8.6,263254
239432,tt0443272,7.3,263077
67700,tt0093870,7.6,262968
67299,tt0093409,7.6,262534
956643,tt3464902,7.1,262470
794592,tt1931533,7.1,262111
955508,tt3450958,7.4,261392
233968,tt0429493,6.7,261283
634848,tt1385826,7.0,260441
400261,tt0837562,7.0,260435
128387,tt0195714,6.7,260396
83882,tt0113189,7.2,260111
49695,tt0072890,8.0,259906
38106,tt0059578,8.2,259694
1200451,tt7888964,7.4,259618
154434,tt0252866,6.4,259415
906277,tt2674426,7.4,259289
615683,tt13443470,8.2,259251
204832,tt0363547,7.3,258939
260607,tt0497465,7.1,258891
170528,tt0285403,8.4,258799
74713,tt0102057,6.8,258789
793071,tt1922777,6.8,257976
856283,tt2243973,8.5,257975
395653,tt0824747,7.8,257820
799733,tt1959490,5.8,257429
59198,tt0083944,7.7,257323
635240,tt1386703,6.2,257198
1071363,tt5362988,7.7,256922
88309,tt0118688,3.7,256648
1254356,tt9243946,7.3,256629
235175,tt0432348,6.6,256589
630281,tt1375670,5.9,256187
83280,tt0112462,5.4,256024
